"ANALYTICAL_PURITY_CODE","ANALYTICAL_PURITY_DESC"
"MS","MS"
"NMR","NMR"
"LCMS","LCMS"
"LC","LC"
"HPLC","HPLC"
"CHN","CHN(micro)"
"GC","GC"
"TLC","TLC"
"UNKNOWN","UNKNOWN"
"HPLC-ELSD","HPLC EVAPORATIVE LIGHT SCATTERING DETECTION"
"HPLC-UV","HPLC UV DETECTION"
"LCMS-ELS","LCMS ELS DETECTION"
"LCMS-UV","LCMS UV DETECTION"
"APCI-TIC","Atmospheric Pressure Chemical Ionization - Total Ion Count"
"CompoundManagementS-TIC","CompoundManagementS-TIC (Total Ion Count)"
"LCHRMSELSD","HPLC HRMS-ELSD"
"PAGE-VIS","SDS - POLYACRYLAMIDE GEL ELECTROPHORESIS - VISUAL ESTIMATION"
"MALDI","MALDI - Matrix-assisted laser desorption/ionization"
